house_number,street_name,line_2,city,province,postal_code,country,latitude,longitude
160,Chancery Rd,Appt. #21,Markham,ON,L6E0B9,CA,43.90129,-79.24776
149,Church St,Appt. #613,King,ON,L0G1T0,CA,43.99739,-79.6864499
149,Church St,Appt. #709,King,ON,L0G1T0,CA,43.99739,-79.6864499
260,Davis Dr,Appt. #206,Newmarket,ON,L3Y7C3,CA,44.0568314,-79.4681473
21,Elizabeth St S,Appt. #405,Richmond Hill,ON,L4C3V5,CA,43.8748,-79.4398
21,George St,Appt. #101,Aurora,ON,L4G2S1,CA,43.9983788,-79.4720688
20,Heritage Rd,Appt. #16,Markham,ON,L3P3P3,CA,43.8712196,-79.2822571
35,Hunt Ave,Appt. #204,Richmond Hill,ON,L4C4H1,CA,43.88168,-79.44148
35,Hunt Ave,Appt. #305,Richmond Hill,ON,L4C4H1,CA,43.88168,-79.44148
19,Main St,,New Tecumseth,ON,L0G1A0,CA,44.0786533,-79.7851151
309,Major Mackenzie Dr E,Appt. #207,Richmond Hill,ON,L4C9V5,CA,43.8726807,-79.4270096
326,Major Mackenzie Dr E,Appt. #218,Richmond Hill,ON,L4C8T4,CA,43.874279,-79.4276505
326,Major Mackenzie Dr E,Appt. #849,Richmond Hill,ON,L4C8T4,CA,43.874279,-79.4276505
326,Major Mackenzie Dr E,Appt. #724,Richmond Hill,ON,L4C8T4,CA,43.874279,-79.4276505
326,Major Mackenzie Dr E,Appt. #524,Richmond Hill,ON,L4C8T4,CA,43.874279,-79.4276505
9500,Markham Rd,Appt. #217,Markham,ON,L6E0N6,CA,43.89637,-79.26564
9506,Markham Rd,Appt. #615,Markham,ON,L6E0S5,CA,43.8974686,-79.2658997
133,Milestone Cres.,,Aurora,ON,L4G3M2,CA,43.99553,-79.47897
189,Milestone Cres.,,Aurora,ON,L4G3M2,CA,43.99537,-79.47811
205,Milestone Cres.,,Aurora,ON,L4G3M2,CA,43.9951515,-79.4780579
67,Richmond St,Appt. #204,Richmond Hill,ON,L4C3Y3,CA,43.8767,-79.44078
14,Rosehill Dr,,Whitchurch-Stouffville,ON,L4A7X3,CA,44.03403,-79.27634
64,Springfair Ave,,Aurora,ON,L4G3M2,CA,43.9943886,-79.4791718
1,Testa Rd,Appt. #20,Uxbridge,ON,L9P1Y8,CA,44.1039679,-79.1081648
100,Toronto St S,,Uxbridge,ON,L9P1H2,CA,44.10494,-79.12482
11121,Yonge St,Appt. #117,Richmond Hill,ON,L4C0S7,CA,43.8984499,-79.44318
